Figure number and title,Panel,Version,Script name,Script path,Working directory,Purpose,Exact command,Input files,Input tables,Intermediate data,Parameters and filters,Random seed,Dependencies,Output files,Output directory,Relation to other scripts,Relation to application,Execution order,Execution status
Supplementary Figure 36: SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled,Complete figure,Original/final,materialize_preserved_publication_asset.py,scripts/materialize_preserved_publication_asset.py,CangaMetaG_App_Final/,Hash-validate and materialize the unchanged packaged Supplementary Figure 36 asset because its legacy generator was not runnable from the received package.,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled --validate-only,data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.png; data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.pdf; data/preserved_publication_assets/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.svg,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.png; outputs/final_publication_figures/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.pdf; outputs/final_publication_figures/SupplementaryFigure36_iron_KO_descriptive_contrasts_labeled.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 34; Supplementary Figure 35; Supplementary Figure 36; Supplementary Figure 39,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 37: Thematic MAG KEGG/KEMET module completeness,Complete figure,Original/final,generate_s37_module_completeness.py,scripts/generate_s37_module_completeness.py,CangaMetaG_App_Final/,Show all original module-completeness states for rows with at least one Complete call across recovered MAGs.,python scripts/generate_s37_module_completeness.py --root .,Not applicable,data/module_figure_inputs/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,data/module_figure_inputs/,"P001: 15.2x9.45 in; x=12.5 pt; y=11.5 pt; title=16.0 pt; axes=14.0 pt; legend=12.5 pt | Presentation-only thematic catalogue: Supplementary Table 8 biomarkers plus nitrogen, phosphorus, carbon, methane, sulfur, photosynthesis and iron cycling; then retain a row when at least one record is Complete. All original cells of retained rows are displayed as Complete, 1 block missing or Incomplete; white only true missing data.",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state.png; outputs/final_publication_figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state.pdf; outputs/final_publication_figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 37,outputs/app_supplementary_figures/SupplementaryFigure37_MAG_KEGG_module_completeness_heatmap_species_MAGnumber_KEMET_style_3state.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 38: Amazonian lagoon metagenome KEGG/KEMET module completeness — modules Complete in at least one metagenome,Complete figure,Original/final,generate_s38_s41_module_figures.py,scripts/generate_s38_s41_module_figures.py,CangaMetaG_App_Final/,Show all original module-completeness states for rows with at least one Complete call across the 20 Amazonian metagenomes.,python scripts/generate_s38_s41_module_figures.py --base-dir . --only 38,Not applicable,data/final_kegg_st8_update/KEMET_lagoon_all_metagenomes_module_completeness_STATUS_3state.csv; tables/Supplementary_Table_14_thematic_module_subset.xlsx,data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_filtered_status.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_visual_categories.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_cell_audit.csv; data/final_publication_derived/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap_filter_audit.csv,"P001: 15.2x9.45 in; x=13.0 pt; y=11.5 pt; title=16.0 pt; axes=14.0 pt; legend=12.5 pt | Presentation-only thematic catalogue: Supplementary Table 8 biomarkers plus nitrogen, phosphorus, carbon, methane, sulfur, photosynthesis and iron cycling; then retain a row when at least one record is Complete. All original cells of retained rows are displayed as Complete, 1 block missing or Incomplete; white only true missing data.",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.png; outputs/final_publication_figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.pdf; outputs/final_publication_figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 38; Supplementary Figure 41,outputs/app_supplementary_figures/SupplementaryFigure38_metagenome_KEGG_module_completeness_heatmap.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 39: SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid,Complete figure,Original/final,materialize_preserved_publication_asset.py,scripts/materialize_preserved_publication_asset.py,CangaMetaG_App_Final/,Hash-validate and materialize the unchanged packaged S39 publication asset because the received legacy computational generator was absent.,python scripts/materialize_preserved_publication_asset.py --root . --stem SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid --validate-only,data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.png; data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.pdf; data/preserved_publication_assets/SupplementaryFigure39/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.svg,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.png; outputs/final_publication_figures/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure39_top_enriched_taxa_DESeq2_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 34; Supplementary Figure 35; Supplementary Figure 36; Supplementary Figure 39,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 40: External iron-rich module completeness by environmental group,P001,Organized by environmental group (final only),generate_environmental_group_heatmaps.py,scripts/figures/generate_environmental_group_heatmaps.py,CangaMetaG_App_Final/,Render final S40 from the immutable categorical source matrix with records of the same environmental group placed side by side.,python scripts/figures/generate_environmental_group_heatmaps.py --root .,Not applicable,data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_status.csv; data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_column_order.csv; validation/environmental_group_heatmap_comparison.tsv,"Rows unchanged; 18 modules per panel; stable environmental-group column order; colors Complete #2E7D32, 1 block missing #4575B4, Incomplete #D73027; missing white. | Column permutation only; no removal, duplication, aggregation, recalculation, normalization, transformation or status reclassification.",Not applicable — deterministic ordering and categorical heatmap.,Python; pandas; NumPy; Matplotlib,outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.png; outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.pdf; outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P001.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 40; Supplementary Figure 67; Supplementary Figure 67 — environmental group,outputs/app_supplementary_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group.png,1,EXECUTED PASS — figure regenerated and scientific-equivalence audit passed.
Supplementary Figure 40: External iron-rich module completeness by environmental group,P002,Organized by environmental group (final only),generate_environmental_group_heatmaps.py,scripts/figures/generate_environmental_group_heatmaps.py,CangaMetaG_App_Final/,Render final S40 from the immutable categorical source matrix with records of the same environmental group placed side by side.,python scripts/figures/generate_environmental_group_heatmaps.py --root .,Not applicable,data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv,data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_status.csv; data/final_publication_derived/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_column_order.csv; validation/environmental_group_heatmap_comparison.tsv,"Rows unchanged; 18 modules per panel; stable environmental-group column order; colors Complete #2E7D32, 1 block missing #4575B4, Incomplete #D73027; missing white. | Column permutation only; no removal, duplication, aggregation, recalculation, normalization, transformation or status reclassification.",Not applicable — deterministic ordering and categorical heatmap.,Python; pandas; NumPy; Matplotlib,outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P002.png; outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P002.pdf; outputs/final_publication_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group_P002.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 40; Supplementary Figure 67; Supplementary Figure 67 — environmental group,outputs/app_supplementary_figures/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_by_environmental_group.png,2,EXECUTED PASS — figure regenerated and scientific-equivalence audit passed.
Supplementary Figure 41: External iron-rich metagenome module-status summary after the Complete-in-at-least-one-record row filter,P001,Original/final,generate_s38_s41_module_figures.py,scripts/generate_s38_s41_module_figures.py,CangaMetaG_App_Final/,"Summarize per-record counts of Complete, 1 block missing, and Incomplete cells from the exact retained S40 matrix.",python scripts/generate_s38_s41_module_figures.py --base-dir . --only 41,Not applicable,data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv; tables/Supplementary_Table_14_thematic_module_subset.xlsx,data/final_publication_derived/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_source.csv,P001: 15.2x9.45 in; x=11.0 pt; y=11.5 pt; title=16.0 pt; axes=NA pt; legend=12.5 pt | P002: 15.2x9.45 in; x=11.0 pt; y=11.5 pt; title=16.0 pt; axes=NA pt; legend=12.5 pt | Same thematic module subset and Complete-in-at-least-one-record row rule as S40; all three displayed states counted.,Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P001.png; outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P001.pdf; outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P001.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 38; Supplementary Figure 41,outputs/app_supplementary_figures/,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 41: External iron-rich metagenome module-status summary after the Complete-in-at-least-one-record row filter,P002,Original/final,generate_s38_s41_module_figures.py,scripts/generate_s38_s41_module_figures.py,CangaMetaG_App_Final/,"Summarize per-record counts of Complete, 1 block missing, and Incomplete cells from the exact retained S40 matrix.",python scripts/generate_s38_s41_module_figures.py --base-dir . --only 41,Not applicable,data/module_figure_inputs/SupplementaryFigure40_ST8_external_iron_rich_module_completeness_KEMET_style_3state_heatmap_thematic_status.csv; data/module_figure_inputs/st8_metadata_curated.csv; tables/Supplementary_Table_14_thematic_module_subset.xlsx,data/final_publication_derived/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_source.csv,P001: 15.2x9.45 in; x=11.0 pt; y=11.5 pt; title=16.0 pt; axes=NA pt; legend=12.5 pt | P002: 15.2x9.45 in; x=11.0 pt; y=11.5 pt; title=16.0 pt; axes=NA pt; legend=12.5 pt | Same thematic module subset and Complete-in-at-least-one-record row rule as S40; all three displayed states counted.,Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P002.png; outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P002.pdf; outputs/final_publication_figures/SupplementaryFigure41_ST8_external_iron_rich_module_status_summary_3state_barplot_P002.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 38; Supplementary Figure 41,outputs/app_supplementary_figures/,2,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 42: SupplementaryFigure42_APP_LakeSeason_Aggregated_KO_Barplots,Complete figure,Original/final,final_visual_sync.py,scripts/final_visual_sync.py,CangaMetaG_App_Final/,Generate SupplementaryFigure42_APP_LakeSeason_Aggregated_KO_Barplots from the documented packaged study inputs.,python scripts/final_visual_sync.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure42_APP_LakeSeason_Aggregated_KO_Barplots.png; outputs/final_publication_figures/SupplementaryFigure42_APP_LakeSeason_Aggregated_KO_Barplots.pdf; outputs/final_publication_figures/SupplementaryFigure42_APP_LakeSeason_Aggregated_KO_Barplots.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 42,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 43: SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure43_Taxonomy_Bacteria_Phylum_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 44: SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure44_Taxonomy_Bacteria_Phylum_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 45: SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure45_Taxonomy_Archaea_Phylum_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 46: SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.png; outputs/final_publication_figures/SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.pdf; outputs/final_publication_figures/SupplementaryFigure46_Taxonomy_Archaea_Phylum_individual_samples_heatmap_relative_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 47: SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct,Complete figure,Original/final,generate_taxonomy_supplementary_figures.py,scripts/generate_taxonomy_supplementary_figures.py,CangaMetaG_App_Final/,Generate SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct from the documented packaged study inputs.,python scripts/generate_taxonomy_supplementary_figures.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 47,data/taxonomy_palette.json,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,"15.2x9.45 in; title=17.0 pt; axes=14.5 pt; ticks=12.0 pt; labels=12.5 pt; legend=11.5 pt | Top 24 taxa plus Others, unchanged",Not applicable,Python 3.13.5; pandas 2.2.3; NumPy 2.3.5; Matplotlib 3.10.8,outputs/final_publication_figures/SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.png; outputs/final_publication_figures/SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.pdf; outputs/final_publication_figures/SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 18; Supplementary Figure 19; Supplementary Figure 20; Supplementary Figure 21; Supplementary Figure 22; Supplementary Figure 23; Supplementary Figure 24; Supplementary Figure 25; Supplementary Figure 43; Supplementary Figure 44; Supplementary Figure 45; Supplementary Figure 46; Supplementary Figure 47; Supplementary Figure 48; Supplementary Figure 49; Supplementary Figure 50; Supplementary Figure 51; Supplementary Figure 52; Supplementary Figure 53; Supplementary Figure 54; Supplementary Figure 55; Supplementary Figure 56; Supplementary Figure 57; Supplementary Figure 58; Supplementary Figure 59; Supplementary Figure 60; Supplementary Figure 61; Supplementary Figure 62; Supplementary Figure 63; Supplementary Figure 64; Supplementary Figure 65; Supplementary Figure 66,outputs/app_supplementary_figures/SupplementaryFigure47_Taxonomy_Bacteria_Class_individual_samples_barplot_100pct.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
